"","x"
"1158","Hsa.17091"
"1159","Hsa.2547"
"1160","Hsa.904"
"1161","Hsa.2035"
"1162","Hsa.35968"
"1163","Hsa.313"
"1164","Hsa.1552"
"1165","Hsa.42442"
"1166","Hsa.7348"
"1167","Hsa.1211"
"1168","Hsa.229"
"1169","Hsa.43540"
"1170","Hsa.2756"
"1171","Hsa.1787"
"1172","Hsa.1770"
"1173","Hsa.3118"
"1174","Hsa.25533"
"1175","Hsa.36218"
"1176","Hsa.11572"
"1177","Hsa.2448"
"1178","Hsa.1530"
"1179","Hsa.2146"
"1180","Hsa.7705"
"1181","Hsa.2436"
"1182","Hsa.694"
"1183","Hsa.1675"
"1184","Hsa.827"
"1185","Hsa.45210"
"1186","Hsa.37553"
"1187","Hsa.816"
"1188","Hsa.10967"
"1189","Hsa.23608"
"1190","Hsa.1957"
"1191","Hsa.32319"
"1192","Hsa.3867"
"1193","Hsa.12701"
"1194","Hsa.60"
"1195","Hsa.6910"
"1196","Hsa.103"
"1197","Hsa.1171"
"1198","Hsa.22461"
"1199","Hsa.23124"
"1200","Hsa.42625"
"1201","Hsa.2530"
"1202","Hsa.1213"
"1203","Hsa.943"
"1204","Hsa.24868"
"1205","Hsa.360"
"1206","Hsa.974"
"1207","Hsa.10308"
"1208","Hsa.6030"
"1209","Hsa.7203"
"1210","Hsa.442"
"1211","Hsa.2962"
"1212","Hsa.40619"
"1213","Hsa.1994"
"1214","Hsa.3020"
"1215","Hsa.9190"
"1216","Hsa.6438"
"1217","Hsa.11854"
"1218","Hsa.8551"
"1219","Hsa.3269"
"1220","Hsa.16443"
"1221","Hsa.8214"
"1222","Hsa.2183"
"1223","Hsa.3010"
"1224","Hsa.2997"
"1225","Hsa.27341"
"1226","Hsa.1670"
"1227","Hsa.8040"
"1228","Hsa.36649"
"1229","Hsa.2339"
"1230","Hsa.2922"
"1231","Hsa.8175"
"1232","Hsa.119"
"1233","Hsa.7499"
"1234","Hsa.22347"
"1235","Hsa.399"
"1236","Hsa.290"
"1237","Hsa.2956"
"1238","Hsa.3271"
"1239","Hsa.1383"
"1240","Hsa.19945"
"1241","Hsa.13628"
"1242","Hsa.1403"
"1243","Hsa.2530"
"1244","Hsa.2591"
"1245","Hsa.44676"
"1246","Hsa.2585"
"1247","Hsa.2553"
"1248","Hsa.1617"
"1249","Hsa.1550"
"1250","Hsa.34428"
"1251","Hsa.41281"
"1252","Hsa.15101"
"1253","Hsa.37931"
"1254","Hsa.2748"
"1255","Hsa.14973"
"1256","Hsa.2451"
"1257","Hsa.1408"
"1258","Hsa.5211"
"1259","Hsa.24867"
"1260","Hsa.36655"
"1261","Hsa.718"
"1262","Hsa.728"
"1263","Hsa.8781"
"1264","Hsa.22242"
"1265","Hsa.4153"
"1266","Hsa.2774"
"1267","Hsa.746"
"1268","Hsa.35471"
"1269","Hsa.981"
"1270","Hsa.1005"
"1271","Hsa.2549"
"1272","Hsa.1682"
"1273","Hsa.14484"
"1274","Hsa.20609"
"1275","Hsa.2053"
"1276","Hsa.5130"
"1277","Hsa.2772"
"1278","Hsa.5141"
"1279","Hsa.3165"
"1280","Hsa.1280"
"1281","Hsa.2793"
"1282","Hsa.1972"
"1283","Hsa.2847"
"1284","Hsa.617"
"1285","Hsa.1479"
"1286","Hsa.421"
"1287","Hsa.31794"
"1288","Hsa.2862"
"1289","Hsa.25777"
"1290","Hsa.2178"
"1291","Hsa.1875"
"1292","Hsa.619"
"1293","Hsa.11673"
"1294","Hsa.41187"
"1295","Hsa.22"
"1296","Hsa.401"
"1297","Hsa.42357"
"1298","Hsa.2509"
"1299","Hsa.20609"
"1300","Hsa.18787"
"1301","Hsa.15598"
"1302","Hsa.1885"
"1303","Hsa.1517"
"1304","Hsa.43894"
"1305","Hsa.975"
"1306","Hsa.367"
"1307","Hsa.1635"
"1308","Hsa.2483"
"1309","Hsa.1705"
"1310","Hsa.37983"
"1311","Hsa.1422"
"1312","Hsa.1701"
"1313","Hsa.7459"
"1314","Hsa.2471"
"1315","Hsa.1509"
"1316","Hsa.40957"
"1317","Hsa.6484"
"1318","Hsa.8007"
"1319","Hsa.2837"
"1320","Hsa.9143"
"1321","Hsa.2706"
"1322","Hsa.1460"
"1323","Hsa.7336"
"1324","Hsa.2996"
"1325","Hsa.3016"
"1326","Hsa.902"
"1327","Hsa.2832"
"1328","Hsa.6317"
"1329","Hsa.1154"
"1330","Hsa.10240"
"1331","Hsa.32"
"1332","Hsa.667"
"1333","Hsa.2901"
"1334","Hsa.7"
"1335","Hsa.3026"
"1336","Hsa.17776"
"1337","Hsa.6786"
"1338","Hsa.2410"
"1339","Hsa.7462"
"1340","Hsa.17564"
"1341","Hsa.814"
"1342","Hsa.39621"
"1343","Hsa.2614"
"1344","Hsa.1719"
"1345","Hsa.41381"
"1346","Hsa.5392"
"1347","Hsa.2340"
"1348","Hsa.2354"
"1349","Hsa.1320"
"1350","Hsa.32345"
"1351","Hsa.41247"
"1352","Hsa.712"
"1353","Hsa.2957"
"1354","Hsa.37293"
"1355","Hsa.16714"
"1356","Hsa.40206"
"1357","Hsa.16622"
"1358","Hsa.534"
"1359","Hsa.3238"
"1360","Hsa.34431"
"1361","Hsa.1241"
"1362","Hsa.1062"
"1363","Hsa.3301"
"1364","Hsa.36671"
"1365","Hsa.341"
"1366","Hsa.2827"
"1367","Hsa.7648"
"1368","Hsa.28895"
"1369","Hsa.18462"
"1370","Hsa.35496"
"1371","Hsa.1929"
"1372","Hsa.2967"
"1373","Hsa.9102"
"1374","Hsa.28468"
"1375","Hsa.36897"
"1376","Hsa.36943"
"1377","Hsa.31677"
"1378","Hsa.19843"
"1379","Hsa.2789"
"1380","Hsa.1316"
"1381","Hsa.6317"
"1382","Hsa.449"
"1383","Hsa.3764"
"1384","Hsa.19143"
"1385","Hsa.44067"
"1386","Hsa.2275"
"1387","Hsa.1902"
"1388","Hsa.578"
"1389","Hsa.555"
"1390","Hsa.1775"
"1391","Hsa.1620"
"1392","Hsa.10314"
"1393","Hsa.14763"
"1394","Hsa.42746"
"1395","Hsa.34510"
"1396","Hsa.33338"
"1397","Hsa.27300"
"1398","Hsa.25522"
"1399","Hsa.2678"
"1400","Hsa.663"
"1401","Hsa.212"
"1402","Hsa.1253"
"1403","Hsa.2904"
"1404","Hsa.1066"
"1405","Hsa.3208"
"1406","Hsa.3263"
"1407","Hsa.1569"
"1408","Hsa.32535"
"1409","Hsa.23150"
"1410","Hsa.27488"
"1411","Hsa.2715"
"1412","Hsa.3086"
"1413","Hsa.2867"
"1414","Hsa.31630"
"1415","Hsa.2285"
"1416","Hsa.477"
"1417","Hsa.1477"
"1418","Hsa.3047"
"1419","Hsa.990"
"1420","Hsa.17210"
"1421","Hsa.27537"
"1422","Hsa.26969"
"1423","Hsa.1832"
"1424","Hsa.3154"
"1425","Hsa.660"
"1426","Hsa.983"
"1427","Hsa.41442"
"1428","Hsa.24183"
"1429","Hsa.2897"
"1430","Hsa.21859"
"1431","Hsa.486"
"1432","Hsa.2499"
"1433","Hsa.1939"
"1434","Hsa.36528"
"1435","Hsa.18693"
"1436","Hsa.481"
"1437","Hsa.9083"
"1438","Hsa.3160"
"1439","Hsa.43201"
"1440","Hsa.1464"
"1441","Hsa.3072"
"1442","Hsa.612"
"1443","Hsa.9711"
"1444","Hsa.2498"
"1445","Hsa.5514"
"1446","Hsa.1776"
"1447","Hsa.6288"
"1448","Hsa.7431"
"1449","Hsa.14478"
"1450","Hsa.1778"
"1451","Hsa.329"
"1452","Hsa.29817"
"1453","Hsa.317"
"1454","Hsa.683"
"1455","Hsa.7700"
"1456","Hsa.3071"
"1457","Hsa.1574"
"1458","Hsa.33867"
"1459","Hsa.8856"
"1460","Hsa.7741"
"1461","Hsa.2426"
"1462","Hsa.27827"
"1463","Hsa.5164"
"1464","Hsa.1254"
"1465","Hsa.3813"
"1466","Hsa.56"
"1467","Hsa.3225"
"1468","Hsa.3182"
"1469","Hsa.6619"
"1470","Hsa.654"
"1471","Hsa.32"
"1472","Hsa.3252"
"1473","Hsa.1410"
"1474","Hsa.3127"
"1475","Hsa.9641"
"1476","Hsa.2240"
"1477","Hsa.10522"
"1478","Hsa.25536"
"1479","Hsa.2085"
"1480","Hsa.1079"
"1481","Hsa.43226"
"1482","Hsa.12241"
"1483","Hsa.41098"
"1484","Hsa.2551"
"1485","Hsa.108"
"1486","Hsa.2330"
"1487","Hsa.1786"
"1488","Hsa.2209"
"1489","Hsa.491"
"1490","Hsa.41152"
"1491","Hsa.28641"
"1492","Hsa.9332"
"1493","Hsa.1543"
"1494","Hsa.2344"
"1495","Hsa.2561"
"1496","Hsa.26945"
"1497","Hsa.10658"
"1498","Hsa.9574"
"1499","Hsa.1578"
"1500","Hsa.1444"
"1501","Hsa.32298"
"1502","Hsa.20602"
"1503","Hsa.27481"
"1504","Hsa.44244"
"1505","Hsa.862"
"1506","Hsa.33967"
"1507","Hsa.36678"
"1508","Hsa.3104"
"1509","Hsa.1655"
"1510","Hsa.2808"
"1511","Hsa.2818"
"1512","Hsa.6555"
"1513","Hsa.2125"
"1514","Hsa.5226"
"1515","Hsa.1689"
"1516","Hsa.43431"
"1517","Hsa.1596"
"1518","Hsa.21957"
"1519","Hsa.3110"
"1520","Hsa.25813"
"1521","Hsa.295"
"1522","Hsa.2621"
"1523","Hsa.818"
"1524","Hsa.6104"
"1525","Hsa.1887"
"1526","Hsa.1045"
"1527","Hsa.24368"
"1528","Hsa.2154"
"1529","Hsa.14031"
"1530","Hsa.2998"
"1531","Hsa.789"
"1532","Hsa.928"
"1533","Hsa.42443"
"1534","Hsa.2959"
"1535","Hsa.907"
"1536","Hsa.9103"
"1537","Hsa.2964"
"1538","Hsa.25762"
"1539","Hsa.44229"
"1540","Hsa.297"
"1541","Hsa.1140"
"1542","Hsa.2343"
"1543","Hsa.2570"
"1544","Hsa.14914"
"1545","Hsa.11582"
"1546","Hsa.9353"
"1547","Hsa.32463"
"1548","Hsa.8839"
"1549","Hsa.24582"
"1550","Hsa.2210"
"1551","Hsa.952"
"1552","Hsa.3132"
"1553","Hsa.10105"
"1554","Hsa.10437"
"1555","Hsa.2387"
"1556","Hsa.3715"
"1557","Hsa.944"
"1558","Hsa.2280"
"1559","Hsa.1731"
"1560","Hsa.21195"
"1561","Hsa.1373"
"1562","Hsa.3461"
"1563","Hsa.29940"
"1564","sa.19001"
"1565","Hsa.13072"
"1566","Hsa.2742"
"1567","Hsa.21562"
"1568","Hsa.2486"
"1569","Hsa.121"
"1570","Hsa.43405"
"1571","Hsa.41231"
"1572","Hsa.716"
"1573","Hsa.3141"
"1574","Hsa.2391"
"1575","Hsa.11240"
"1576","Hsa.21939"
"1577","Hsa.28390"
"1578","Hsa.1356"
"1579","Hsa.1380"
"1580","Hsa.15776"
"1581","Hsa.28939"
"1582","Hsa.2928"
"1583","Hsa.3093"
"1584","Hsa.1788"
"1585","Hsa.1315"
"1586","Hsa.542"
"1587","Hsa.42317"
"1588","Hsa.1557"
"1589","Hsa.32411"
"1590","Hsa.21933"
"1591","Hsa.1090"
"1592","Hsa.11232"
"1593","Hsa.3248"
"1594","Hsa.45449"
"1595","Hsa.8164"
"1596","Hsa.306"
"1597","Hsa.9246"
"1598","Hsa.43304"
"1599","Hsa.2091"
"1600","Hsa.1691"
"1601","Hsa.2300"
"1602","Hsa.1662"
"1603","Hsa.7781"
"1604","Hsa.492"
"1605","Hsa.1877"
"1606","Hsa.1774"
"1607","Hsa.2312"
"1608","Hsa.127"
"1609","Hsa.485"
"1610","Hsa.2115"
"1611","Hsa.33144"
"1612","Hsa.1728"
"1613","Hsa.23442"
"1614","Hsa.9994"
"1615","Hsa.3893"
"1616","Hsa.985"
"1617","Hsa.2537"
"1618","Hsa.21104"
"1619","Hsa.34881"
"1620","Hsa.2968"
"1621","Hsa.6372"
"1622","Hsa.17426"
"1623","Hsa.18790"
"1624","Hsa.1274"
"1625","Hsa.20883"
"1626","Hsa.12879"
"1627","Hsa.1917"
"1628","Hsa.1122"
"1629","Hsa.18589"
"1630","Hsa.3337"
"1631","Hsa.3061"
"1632","Hsa.1028"
"1633","Hsa.16092"
"1634","Hsa.10664"
"1635","Hsa.2097"
"1636","Hsa.345"
"1637","Hsa.9744"
"1638","Hsa.27560"
"1639","Hsa.2192"
"1640","Hsa.145"
"1641","Hsa.41159"
"1642","Hsa.12465"
"1643","Hsa.1402"
"1644","Hsa.33268"
"1645","Hsa.2670"
"1646","Hsa.1163"
"1647","Hsa.27808"
"1648","Hsa.662"
"1649","Hsa.1240"
"1650","Hsa.20376"
"1651","Hsa.3230"
"1652","Hsa.305"
"1653","Hsa.12442"
"1654","Hsa.743"
"1655","Hsa.30310"
"1656","Hsa.2692"
"1657","Hsa.40211"
"1658","Hsa.25371"
"1659","Hsa.45446"
"1660","Hsa.34776"
"1661","Hsa.2458"
"1662","Hsa.1281"
"1663","Hsa.15734"
"1664","Hsa.44350"
"1665","Hsa.2926"
"1666","Hsa.1592"
"1667","Hsa.687"
"1668","Hsa.1454"
"1669","Hsa.41346"
"1670","Hsa.35652"
"1671","Hsa.627"
"1672","Hsa.1579"
"1673","Hsa.10908"
"1674","Hsa.14069"
"1675","Hsa.3083"
"1676","Hsa.192"
"1677","Hsa.9295"
"1678","Hsa.4296"
"1679","Hsa.2821"
"1680","Hsa.1380"
"1681","Hsa.335"
"1682","Hsa.1223"
"1683","Hsa.6416"
"1684","Hsa.9671"
"1685","Hsa.2168"
"1686","Hsa.41368"
"1687","Hsa.18469"
"1688","Hsa.3933"
"1689","Hsa.37654"
"1690","Hsa.2206"
"1691","Hsa.39777"
"1692","Hsa.2347"
"1693","Hsa.2528"
"1694","Hsa.39731"
"1695","Hsa.38171"
"1696","Hsa.26979"
"1697","Hsa.3280"
"1698","Hsa.3316"
"1699","Hsa.8576"
"1700","Hsa.23805"
"1701","Hsa.37715"
"1702","Hsa.43862"
"1703","Hsa.31179"
"1704","Hsa.358"
"1705","Hsa.6904"
"1706","Hsa.41002"
"1707","Hsa.36697"
"1708","Hsa.37811"
"1709","Hsa.37147"
"1710","Hsa.2683"
"1711","Hsa.1539"
"1712","Hsa.2467"
"1713","Hsa.21736"
"1714","Hsa.2407"
"1715","Hsa.11632"
"1716","Hsa.2517"
"1717","Hsa.8085"
"1718","Hsa.1308"
"1719","Hsa.176"
"1720","Hsa.26971"
"1721","Hsa.36025"
"1722","Hsa.34395"
"1723","Hsa.2687"
"1724","Hsa.960"
"1725","Hsa.1468"
"1726","Hsa.4286"
"1727","Hsa.2688"
"1728","Hsa.32745"
"1729","Hsa.12260"
"1730","Hsa.2645"
"1731","Hsa.18833"
"1732","Hsa.584"
"1733","Hsa.2749"
"1734","Hsa.25294"
"1735","Hsa.42382"
"1736","Hsa.8121"
"1737","Hsa.14154"
"1738","Hsa.2945"
"1739","Hsa.1398"
"1740","Hsa.2012"
"1741","Hsa.43284"
"1742","Hsa.67"
"1743","Hsa.14733"
"1744","Hsa.33587"
"1745","Hsa.21757"
"1746","Hsa.3254"
"1747","Hsa.1550"
"1748","Hsa.230"
"1749","Hsa.33277"
"1750","Hsa.710"
"1751","Hsa.23124"
"1752","Hsa.3351"
"1753","Hsa.34793"
"1754","Hsa.39809"
"1755","Hsa.8679"
"1756","Hsa.41136"
"1757","Hsa.34937"
"1758","Hsa.3963"
"1759","Hsa.34575"
"1760","Hsa.6353"
"1761","Hsa.8223"
"1762","Hsa.35741"
"1763","Hsa.2842"
"1764","Hsa.10341"
"1765","Hsa.3324"
"1766","Hsa.1497"
"1767","Hsa.21868"
"1768","Hsa.294"
"1769","Hsa.33576"
"1770","Hsa.2250"
"1771","Hsa.601"
"1772","Hsa.6814"
"1773","Hsa.32745"
"1774","Hsa.32907"
"1775","Hsa.16296"
"1776","Hsa.767"
"1777","Hsa.15716"
"1778","Hsa.3315"
"1779","Hsa.27716"
"1780","Hsa.23600"
"1781","Hsa.24884"
"1782","Hsa.888"
"1783","Hsa.2337"
"1784","Hsa.1811"
"1785","Hsa.1145"
"1786","Hsa.913"
"1787","Hsa.42826"
"1788","Hsa.42255"
"1789","Hsa.41239"
"1790","Hsa.410"
"1791","Hsa.2794"
"1792","Hsa.1057"
"1793","Hsa.2253"
"1794","Hsa.18329"
"1795","Hsa.3015"
"1796","Hsa.32904"
"1797","Hsa.1556"
"1798","Hsa.2753"
"1799","Hsa.23824"
"1800","Hsa.2137"
"1801","Hsa.2058"
"1802","Hsa.8863"
"1803","Hsa.3954"
"1804","Hsa.2199"
"1805","Hsa.26992"
"1806","Hsa.2497"
"1807","Hsa.10305"
"1808","Hsa.41283"
"1809","Hsa.9671"
"1810","Hsa.1039"
"1811","Hsa.3223"
"1812","Hsa.41369"
"1813","Hsa.33637"
"1814","Hsa.17766"
"1815","Hsa.504"
"1816","Hsa.10746"
"1817","sa.41198"
"1818","Hsa.37609"
"1819","Hsa.1352"
"1820","Hsa.1908"
"1821","Hsa.37528"
"1822","Hsa.24490"
"1823","Hsa.29913"
"1824","Hsa.2626"
"1825","Hsa.16372"
"1826","Hsa.565"
"1827","Hsa.10700"
"1828","Hsa.10784"
"1829","Hsa.25830"
"1830","Hsa.920"
"1831","Hsa.3127"
"1832","Hsa.41189"
"1833","Hsa.7870"
"1834","Hsa.3173"
"1835","Hsa.661"
"1836","Hsa.1387"
"1837","Hsa.38040"
"1838","Hsa.29263"
"1839","Hsa.3296"
"1840","Hsa.3187"
"1841","Hsa.3862"
"1842","Hsa.2029"
"1843","Hsa.2291"
"1844","Hsa.25229"
"1845","Hsa.638"
"1846","Hsa.10212"
"1847","Hsa.2910"
"1848","Hsa.26430"
"1849","Hsa.41108"
"1850","Hsa.2197"
"1851","Hsa.3024"
"1852","Hsa.1009"
"1853","Hsa.1514"
"1854","Hsa.2602"
"1855","Hsa.1194"
"1856","Hsa.2389"
"1857","Hsa.12442"
"1858","Hsa.43978"
"1859","Hsa.31395"
"1860","Hsa.634"
"1861","Hsa.2573"
"1862","Hsa.1321"
"1863","Hsa.17514"
"1864","Hsa.16930"
"1865","Hsa.4274"
"1866","Hsa.14102"
"1867","Hsa.41323"
"1868","Hsa.32404"
"1869","Hsa.402"
"1870","Hsa.1660"
"1871","Hsa.865"
"1872","Hsa.2875"
"1873","Hsa.404"
"1874","Hsa.134"
"1875","Hsa.40449"
"1876","Hsa.1373"
"1877","Hsa.36710"
"1878","Hsa.2104"
"1879","Hsa.320"
"1880","Hsa.1780"
"1881","Hsa.45658"
"1882","Hsa.9340"
"1883","Hsa.24270"
"1884","Hsa.25322"
"1885","Hsa.696"
"1886","Hsa.6"
"1887","Hsa.2196"
"1888","Hsa.33695"
"1889","Hsa.35367"
"1890","Hsa.1765"
"1891","Hsa.36161"
"1892","Hsa.2456"
"1893","Hsa.889"
"1894","Hsa.2939"
"1895","Hsa.8192"
"1896","Hsa.636"
"1897","Hsa.466"
"1898","Hsa.2519"
"1899","Hsa.41299"
"1900","Hsa.2705"
"1901","Hsa.3921"
"1902","Hsa.1095"
"1903","Hsa.1614"
"1904","Hsa.2644"
"1905","Hsa.85"
"1906","Hsa.13003"
"1907","Hsa.1607"
"1908","Hsa.855"
"1909","Hsa.1185"
"1910","Hsa.12564"
"1911","Hsa.28784"
"1912","Hsa.7652"
"1913","Hsa.10659"
"1914","Hsa.3201"
"1915","Hsa.45458"
"1916","Hsa.1209"
"1917","Hsa.1763"
"1918","Hsa.7728"
"1919","Hsa.1439"
"1920","Hsa.1423"
"1921","Hsa.1297"
"1922","Hsa.22968"
"1923","Hsa.8503"
"1924","Hsa.43331"
"1925","Hsa.858"
"1926","Hsa.1016"
"1927","Hsa.41306"
"1928","Hsa.33095"
"1929","Hsa.664"
"1930","Hsa.9174"
"1931","Hsa.1758"
"1932","Hsa.2243"
"1933","Hsa.15198"
"1934","Hsa.3005"
"1935","Hsa.6782"
"1936","Hsa.25390"
"1937","Hsa.24874"
"1938","Hsa.41314"
"1939","Hsa.2584"
"1940","Hsa.1862"
"1941","Hsa.3"
"1942","Hsa.5908"
"1943","Hsa.72"
"1944","Hsa.3186"
"1945","Hsa.2127"
"1946","Hsa.3250"
"1947","Hsa.2237"
"1948","Hsa.1228"
"1949","Hsa.2309"
"1950","Hsa.41165"
"1951","Hsa.2690"
"1952","Hsa.1346"
"1953","Hsa.1878"
"1954","Hsa.1491"
"1955","Hsa.17213"
"1956","Hsa.2918"
"1957","Hsa.22452"
"1958","Hsa.36693"
"1959","Hsa.1143"
"1960","Hsa.36696"
"1961","Hsa.44116"
"1962","Hsa.33012"
"1963","Hsa.31500"
"1964","Hsa.2891"
"1965","Hsa.330"
"1966","Hsa.36705"
"1967","Hsa.11616"
"1968","Hsa.3105"
"1969","Hsa.205"
"1970","Hsa.21245"
"1971","Hsa.17130"
"1972","Hsa.1435"
"1973","Hsa.826"
"1974","Hsa.33"
"1975","Hsa.2134"
"1976","Hsa.41098"
"1977","Hsa.9590"
"1978","Hsa.58"
"1979","Hsa.1415"
"1980","Hsa.3082"
"1981","Hsa.15007"
"1982","Hsa.17901"
"1983","Hsa.1198"
"1984","Hsa.475"
"1985","Hsa.2084"
"1986","Hsa.2484"
"1987","Hsa.2208"
"1988","Hsa.11042"
"1989","Hsa.26673"
"1990","Hsa.1562"
"1991","Hsa.2618"
"1992","Hsa.27285"
"1993","Hsa.41260"
"1994","Hsa.14822"
"1995","Hsa.336"
"1996","Hsa.984"
"1997","Hsa.35124"
"1998","Hsa.3952"
"1999","Hsa.32734"
"2000","Hsa.9683"
